SYMBOL,FULLNAME,SECTOR
DPTL,Dhunseri Petrochem & Tea Limited,PLANTATIONS - TEA & COFFEE
DQE,DQ Entertainment (International) Limited,MEDIA & ENTERTAINMENT
DREDGECORP,Dredging Corporation of India Limited,MISCELLANEOUS
DRREDDY,Dr. Reddy's Laboratories Limited,PHARMACEUTICALS
DSKULKARNI,DS Kulkarni Developers Limited,CONSTRUCTION & CONTRACTING - HOUSING
DUNCANSLTD,Duncans Industries Limited,PLANTATIONS - TEA & COFFEE
DWARKESH,Dwarikesh Sugar Industries Limited,FINANCE - INVESTMENTS
EASTSILK,Eastern Silk Industries Limited,TEXTILES - SYNTHETIC/SILK
EASUNREYRL,Easun Reyrolle Limited,ELECTRIC EQUIPMENT
ECEIND,ECE Industries Limited,ELECTRICALS
ECLERX,eClerx Services Limited,COMPUTERS - SOFTWARE MEDIUM/SMALL
EDELWEISS,Edelweiss Financial Services Limited,FINANCE - GENERAL
EDL,Empee Distilleries Limited,BREWERIES & DISTILLERIES
EDSERV,Edserv Softsystems Limited,COMPUTERS - SOFTWARE - TRAINING
EDUCOMP,Educomp Solutions Limited,COMPUTERS - SOFTWARE - TRAINING
EICHERMOT,Eicher Motors Limited,AUTO - LCVS/HCVS
EIDPARRY,EID Parry India Limited,SUGAR
EIHAHOTELS,EIH Associated Hotels Limited,HOTELS
EIHOTEL,EIH Limited,HOTELS
EIMCOELECO,Eimco Elecon (India) Limited,ENGINEERING - HEAVY
ELDERPHARM,Elder Pharmaceuticals Limited,PHARMACEUTICALS
ELECON,Elecon Engineering Company Limited,ENGINEERING - HEAVY
ELECTCAST,Electrosteel Castings Limited,CASTINGS & FORGINGS
ELECTHERM,Electrotherm (India) Limited,ENGINEERING
ELGIEQUIP,Elgi Equipments Limited,COMPRESSORS
ELGIRUBCO,Elgi Rubber Company Limited,TYRES
ELNET,Elnet Technologies Limited,CONSUMER GOODS - ELECTRONIC
EMAMIINFRA,Emami Infrastructure Limited,CONSTRUCTION & CONTRACTING - REAL ESTATE
EMAMILTD,Emami Limited,PERSONAL CARE
EMCO,Emco Limited,ELECTRIC EQUIPMENT
EMKAY,Emkay Global Financial Services Limited,MINING/MINERALS
EMMBI,Emmbi Industries Limited,PACKAGING
EMPEESUG,Empee Sugars and Chemicals Limited,SUGAR
ENERGYDEV,Energy Development Company Limited,POWER - GENERATION/DISTRIBUTION
ENGINERSIN,Engineers India Limited,INFRASTRUCTURE - GENERAL
ENIL,Entertainment Network (India) Limited,MEDIA & ENTERTAINMENT
EON,Eon Electric Limited,COMPUTERS - SOFTWARE MEDIUM/SMALL
ERAINFRA,Era Infra Engineering Limited,INFRASTRUCTURE - GENERAL
EROSMEDIA,Eros International Media Limited,MEDIA & ENTERTAINMENT
ESABINDIA,Esab India Limited,ELECTRODES/GRAPHITE
ESCORTS,Escorts Limited,FINANCE - LEASING & HIRE PURCHASE
ESL,Electrosteel Steels Limited,STEEL - MEDIUM / SMALL
ESSAROIL,Essar Oil Limited,REFINERIES
ESSARPORTS,Essar Ports Limited,INFRASTRUCTURE - GENERAL
ESSDEE,Ess Dee Aluminium Limited,PACKAGING
ESSELPACK,Essel Propack Limited,PACKAGING
EUROTEXIND,Eurotex Industries and Exports Limited,TEXTILES - SPINNING - COTTON BLENDED
EVEREADY,Eveready Industries India Limited,DRY CELLS
EVERESTIND,Everest Industries Limited,CEMENT - PRODUCTS/BUILDING MATERIALS
EVERONN,Everonn Education Limited,COMPUTERS - SOFTWARE - TRAINING
EXCELINDUS,Excel Industries Limited,PESTICIDES/AGRO CHEMICALS
EXCELINFO,Excel Infoways Limited,COMPUTERS - SOFTWARE MEDIUM/SMALL
EXIDEIND,Exide Industries Limited,AUTO ANCILLARIES
FACT,Fertilizers and Chemicals Travancore Limited,FINANCE - GENERAL
FAGBEARING,FAG Bearings India Limited,BEARINGS
FCEL,Future Consumer Enterprise Limited,FINANCE - INVESTMENTS
FDC,FDC Limited,PHARMACEUTICALS
FEDDERLOYD,Fedders Lloyd Corporation Limited,CONSUMER GOODS - WHITE GOODS
FEDERALBNK,The Federal Bank  Limited,BANKS - PRIVATE SECTOR
FIEMIND,Fiem Industries Limited,AUTO ANCILLARIES
FINANTECH,Financial Technologies (India) Limited,COMPUTERS - SOFTWARE
FINCABLES,Finolex Cables Limited,CABLES - TELEPHONE
FINPIPE,Finolex Industries Limited,PETROCHEMICALS
FIRSTLEASE,First Leasing Company of India Limited,FINANCE - LEASING & HIRE PURCHASE
FKONCO,Fresenius Kabi Oncology Limited,PHARMACEUTICALS
FLEXITUFF,Flexituff International Limited,PACKAGING
FLFL,Future Lifestyle Fashions Limited,RETAIL
FMGOETZE,Federal-Mogul Goetze (India) Limited.,AUTO ANCILLARIES
FORTIS,Fortis Healthcare Limited,HOSPITALS & MEDICAL SERVICES
FOSECOIND,Foseco India Limited,CHEMICALS
FRL,Future Retail Limited,RETAIL
FRLDVR,Future Retail Limited,RETAIL
FSL,Firstsource Solutions Limited,COMPUTERS - SOFTWARE MEDIUM/SMALL
GABRIEL,Gabriel India Limited,AUTO ANCILLARIES
GAEL,Gujarat Ambuja Exports Limited,EDIBLE OILS & SOLVENT EXTRACTION
GAIL,GAIL (India) Limited,OIL DRILLING AND EXPLORATION
GAL,Gyscoal Alloys Limited,FINANCE - INVESTMENTS
GALLANTT,Gallantt Metal Limited,STEEL - SPONGE IRON
GALLISPAT,Gallantt Ispat Limited,STEEL - SPONGE IRON
GAMMNINFRA,Gammon Infrastructure Projects Limited,CONSTRUCTION & CONTRACTING - CIVIL
GANDHITUBE,Gandhi Special Tubes Limited,STEEL - TUBES/PIPES
GANESHHOUC,Ganesh Housing Corporation Limited,CONSTRUCTION & CONTRACTING - HOUSING
GARWALLROP,Garware  Wall Ropes Limited,TEXTILES - GENERAL
GATI,GATI Limited,COURIERS
GAYAPROJ,Gayatri Projects Limited,CONSTRUCTION & CONTRACTING - CIVIL
GDL,Gateway Distriparks Limited,FINANCE - INVESTMENTS
GEECEE,GeeCee Ventures Limited,CHEMICALS
GEINDSYS,GEI Industrial Systems Limited,ENGINEERING
GENESYS,Genesys International Corporation Limited,COMPUTERS - SOFTWARE MEDIUM/SMALL
GENUSPOWER,Genus Power Infrastructures Limited,ELECTRICALS
GEOJITBNPP,Geojit BNP Paribas Financial Services Limited,FINANCE - GENERAL
GEOMETRIC,Geometric Limited,COMPUTERS - SOFTWARE
GESHIP,The Great Eastern Shipping Company Limited,SHIPPING
GHCL,GHCL Limited,CHEMICALS
GICHSGFIN,GIC Housing Finance Limited,FINANCE - HOUSING
GILLANDERS,Gillanders Arbuthnot & Company Limited,PLANTATIONS - TEA & COFFEE
GILLETTE,Gillette India Limited,PERSONAL CARE
GIPCL,Gujarat Industries Power Company Limited,POWER - GENERATION/DISTRIBUTION
GITANJALI,Gitanjali Gems Limited,DIAMOND CUTTING/PRECIOUS METALS/JEWELLERY
GKWLIMITED,GKW Limited,FASTENERS
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,PHARMACEUTICALS
GLENMARK,Glenmark Pharmaceuticals Limited,PHARMACEUTICALS
GLOBOFFS,Global Offshore Services Limited,SHIPPING
GLOBUSSPR,Globus Spirits Limited,BREWERIES & DISTILLERIES
GLORY,Glory Polyfilms Limited,PACKAGING
GMBREW,GM Breweries Limited,BREWERIES & DISTILLERIES
GMDCLTD,Gujarat Mineral Development Corporation Limited,MINING/MINERALS
GMRINFRA,GMR Infrastructure Limited,INFRASTRUCTURE - GENERAL
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,FERTILISERS
GOACARBON,Goa Carbon Limited,PETROCHEMICALS
GODFRYPHLP,Godfrey Phillips India Limited,CIGARETTES
GODREJCP,Godrej Consumer Products Limited,PERSONAL CARE
GODREJIND,Godrej Industries Limited,PERSONAL CARE
GODREJPROP,Godrej Properties Limited,CONSTRUCTION & CONTRACTING - REAL ESTATE
GOENKA,Goenka Diamond and Jewels Limited,DIAMOND CUTTING/PRECIOUS METALS/JEWELLERY
GOKUL,Gokul Refoils and Solvent Limited,EDIBLE OILS & SOLVENT EXTRACTION
GOLDBEES,Goldman Sachs Gold Exchange Traded Scheme,BANKS - PRIVATE SECTOR
GOLDIAM,Goldiam International Limited,DIAMOND CUTTING/PRECIOUS METALS/JEWELLERY
GOLDINFRA,Goldstone Infratech Limited,TELECOMMUNICATIONS - SERVICE
GOLDSHARE,UTI Mutual Fund - UTI Gold Exchange Traded Fund,BANKS - PUBLIC SECTOR
GOLDTECH,Goldstone Technologies Limited,COMPUTERS - SOFTWARE MEDIUM/SMALL
GPIL,Godawari Power And Ispat limited,STEEL - SPONGE IRON
GPPL,Gujarat Pipavav Port Limited,SHIPPING
GRANULES,Granules India Limited,PHARMACEUTICALS
GRAPHITE,Graphite India Limited,ELECTRODES/GRAPHITE
GRASIM,Grasim Industries Limited,DIVERSIFIED
GRAVITA,Gravita India Limited,MISCELLANEOUS
GREAVESCOT,Greaves Cotton Limited,ENGINES
GREENPLY,Greenply Industries Limited,MISCELLANEOUS
GREENPOWER,Orient Green Power Company Limited,POWER - GENERATION/DISTRIBUTION
GRINDWELL,Grindwell Norton Limited,ABRASIVES
GRUH,Gruh Finance Limited,FINANCE - HOUSING
GSCLCEMENT,Gujarat Sidhee Cement Limited,CEMENT - MAJOR
GSFC,Gujarat State Fertilizers & Chemicals Limited,FERTILISERS
GSKCONS,GlaxoSmithKline Consumer Healthcare Limited,FOOD PROCESSING
GSPL,Gujarat State Petronet Limited,TEXTILES - PROCESSING
GSS,GSS Infotech Limited,COMPUTERS - SOFTWARE MEDIUM/SMALL
GTL,GTL Limited,TELECOMMUNICATIONS - EQUIPMENT
GTLINFRA,GTL Infrastructure Limited,TELECOMMUNICATIONS - EQUIPMENT
GTNIND,GTN Industries Limited,TEXTILES - SPINNING - COTTON BLENDED
GTNTEX,GTN Textiles Limited,TEXTILES - GENERAL
GTOFFSHORE,GOL Offshore Limited,SHIPPING
GUFICBIO,Gufic Biosciences Limited,PHARMACEUTICALS
GUJALKALI,Gujarat Alkalies and Chemicals Limited,CHEMICALS
GUJAPOLLO,Gujarat Apollo Industries Limited,ENGINEERING - HEAVY
GUJFLUORO,Gujarat Fluorochemicals Limited,CHEMICALS
GUJNRECOKE,Gujarat NRE Coke Limited,MISCELLANEOUS
GUJNREDVR,Gujarat NRE Coke Limited,MISCELLANEOUS
GUJRATGAS,Gujarat Gas Company Limited,OIL DRILLING AND EXPLORATION
GULFOILCOR,Gulf Oil Corporation Limited,CHEMICALS
GVKPIL,GVK Power & Infrastructure Limited,POWER - GENERATION/DISTRIBUTION
HARITASEAT,Harita Seating Systems Limited,AUTO ANCILLARIES
HARRMALAYA,Harrisons  Malayalam Limited,PLANTATIONS - TEA & COFFEE
HATHWAY,Hathway Cable & Datacom Limited,MEDIA & ENTERTAINMENT
HAVELLS,Havells India Limited,ELECTRIC EQUIPMENT
HBLPOWER,HBL Power Systems Limited,ELECTRIC EQUIPMENT
HCC,Hindustan Construction Company Limited,CONSTRUCTION & CONTRACTING - CIVIL
HCIL,Himadri Chemicals and Industries Limited,CHEMICALS
HCL-INSYS,HCL Infosystems Limited,COMPUTERS - HARDWARE
HCLTECH,HCL Technologies Limited,COMPUTERS - SOFTWARE
HDFC,Housing Development Finance Corporation Limited,BANKS - PRIVATE SECTOR
HDFCBANK,HDFC Bank Limited,BANKS - PRIVATE SECTOR
HDFCMFGETF,HDFC Mutual Fund-HDFC Gold Exchange Traded Fund,FINANCE - INVESTMENTS
HDIL,Housing Development and Infrastructure Limited,CONSTRUCTION & CONTRACTING - REAL ESTATE
HEG,HEG Limited,ELECTRODES/GRAPHITE
HEIDELBERG,HeidelbergCement India Limited,CEMENT - MAJOR
HELIOSMATH,Helios And Matheson Information Technology Limited,COMPUTERS - SOFTWARE MEDIUM/SMALL
HERCULES,Hercules Hoists Limited,ENGINEERING
HERITGFOOD,Heritage Foods Limited,FOOD PROCESSING
HEROMOTOCO,Hero MotoCorp Limited,AUTO - 2 & 3 WHEELERS
HEXATRADEX,Hexa Tradex Limited,FINANCE - INVESTMENTS
HEXAWARE,Hexaware Technologies Limited,COMPUTERS - SOFTWARE
HFCL,Himachal Futuristic Communications Limited,TELECOMMUNICATIONS - SERVICE
HGS,Hinduja Global Solutions Limited,COMPUTERS - SOFTWARE
HIKAL,Hikal Limited,PHARMACEUTICALS
HIL,HIL Limited,MISCELLANEOUS
HIMATSEIDE,Himatsingka Seide Limited,TEXTILES - SYNTHETIC/SILK
HINDALCO,Hindalco Industries Limited,ALUMINIUM
HINDCOMPOS,Hindustan Composites Limited,AUTO ANCILLARIES
HINDCOPPER,Hindustan Copper Limited,METALS - NON FERROUS
HINDDORROL,Hindustan Dorr-Oliver Limited,ENGINEERING
HINDMOTORS,Hindustan Motors Limited,AUTO - CARS & JEEPS
HINDPETRO,Hindustan Petroleum Corporation Limited,REFINERIES
HINDUJAVEN,Hinduja Ventures Limited,COMPUTERS - SOFTWARE
HINDUNILVR,Hindustan Unilever Limited,PERSONAL CARE
HINDZINC,Hindustan Zinc Limited,METALS - NON FERROUS
HIRAFERRO,Hira Ferro Alloys Limited,MINING/MINERALS
HIRECT,Hind Rectifiers Limited,ELECTRICALS
HITACHIHOM,Hitachi Home and Life Solutions (India) Limited,CONSUMER GOODS - WHITE GOODS
HITECHGEAR,Hi-Tech Gears Limited,AUTO ANCILLARIES
HITECHPLAS,Hitech Plast Limited,PLASTICS
HMT,HMT Limited,AUTO - TRACTORS
HMVL,Hindustan Media Ventures Limited,MEDIA & ENTERTAINMENT
HNGSNGBEES,Goldman Sachs Hang Seng Exchange Traded Scheme,FINANCE - INVESTMENTS
HOCL,Hindustan Organic Chemicals Limited,CHEMICALS
HONAUT,Honeywell Automation India Limited,TELECOMMUNICATIONS - EQUIPMENT
HONDAPOWER,Honda Siel Power Products Limited,ELECTRIC EQUIPMENT
HORIZONINF,Horizon Infrastructure Limited,AUTO ANCILLARIES
HOTELEELA,Hotel Leela Venture Limited,HOTELS
HOTELRUGBY,Hotel Rugby Limited,HOTELS
HSIL,HSIL Limited,CERAMICS/GRANITE
HTMEDIA,HT Media Limited,MEDIA & ENTERTAINMENT
HUBTOWN,Hubtown Limited,CONSTRUCTION & CONTRACTING - REAL ESTATE
HYDROS&S,Hydro S & S Industries Limited,PLASTICS
IBIPL,Indiabulls Infrastructure and Power Limited,POWER - GENERATION/DISTRIBUTION
IBPOW,Indiabulls Power Limited,POWER - GENERATION/DISTRIBUTION
IBREALEST,Indiabulls Real Estate Limited,CONSTRUCTION & CONTRACTING - REAL ESTATE
IBSEC,Indiabulls Securities Limited,FINANCE - INVESTMENTS
IBULHSGFIN,Indiabulls Housing Finance Limited,FINANCE - HOUSING
ICICIBANK,ICICI Bank Limited,BANKS - PRIVATE SECTOR
ICRA,ICRA Limited,MISCELLANEOUS
IDBI,IDBI Bank Limited,FINANCE - INVESTMENTS
IDBIGOLD,IDBI Mutual Fund - IDBI Gold Exchange Traded Fund,FINANCE - INVESTMENTS
IDEA,Idea Cellular Limited,PERSONAL CARE
IDFC,IDFC Limited,FINANCE - TERM LENDING INSTITUTIONS
IFBAGRO,IFB Agro Industries Limited,CHEMICALS
IFBIND,IFB Industries Limited,CONSUMER GOODS - WHITE GOODS
IFCI,IFCI Limited,FINANCE - TERM LENDING INSTITUTIONS
IFGLREFRAC,IFGL Refractories Limited,CEMENT - PRODUCTS/BUILDING MATERIALS
IGARASHI,Igarashi Motors India Limited,ELECTRIC EQUIPMENT
IGL,Indraprastha Gas Limited,OIL DRILLING AND EXPLORATION
IGPL,IG Petrochemicals Limited,CHEMICALS
IIFLNIFTY,IIFL Mutual Fund - IIFL NIFTY ETF,FINANCE - INVESTMENTS
IL&FSENGG,IL&FS Engineering and Construction Company Limited,FINANCE - INVESTMENTS
IL&FSTRANS,IL&FS Transportation Networks Limited,FINANCE - INVESTMENTS
IMFA,Indian Metals & Ferro Alloys Limited,MINING/MINERALS
IMPAL,India Motor Parts and Accessories Limited,TRADING
IMPEXFERRO,Impex Ferro Tech Limited,MINING/MINERALS
INDHOTEL,The Indian Hotels Company Limited,HOTELS
INDIACEM,The India Cements Limited,CEMENT - MAJOR
INDIAGLYCO,India Glycols Limited,CHEMICALS
INDIAINFO,India Infoline Limited,FINANCE - GENERAL
INDIANB,Indian Bank,BANKS - PUBLIC SECTOR
INDIANCARD,Indian Card Clothing Company Limited,TEXTILES - MACHINERY
INDIANHUME,Indian Hume Pipe Company Limited,CEMENT - PRODUCTS/BUILDING MATERIALS
INDNIPPON,India Nippon Electricals Limited,AUTO ANCILLARIES
INDOCO,Indoco Remedies Limited,PHARMACEUTICALS
INDORAMA,Indo Rama Synthetics (India) Limited,TEXTILES - SPINNING - SYNTHETIC BLENDED
INDOTECH,Indo Tech Transformers Limited,POWER - TRANSMISSION/EQUIPMENT
INDOTHAI,Indo Thai Securities Limited,FINANCE - GENERAL
INDOWIND,Indowind Energy Limited,POWER - GENERATION/DISTRIBUTION
INDRAMEDCO,Indraprastha Medical Corporation Limited,HOSPITALS & MEDICAL SERVICES
INDUSFILA,Indus Fila Limited,TEXTILES - PROCESSING
INDUSINDBK,IndusInd Bank Limited,BANKS - PRIVATE SECTOR
INFINITE,Infinite Computer Solutions (India) Limited,COMPUTERS - SOFTWARE
INFOTECENT,Infotech Enterprises Limited,COMPUTERS - SOFTWARE
INFRABEES,Goldman Sachs Infrastructure Exchange Traded Scheme,FINANCE - INVESTMENTS
INFRATEL,Bharti Infratel Limited,TELECOMMUNICATIONS - EQUIPMENT
INFY,Infosys Limited,COMPUTERS - SOFTWARE
INGERRAND,Ingersoll Rand (India) Limited,COMPRESSORS
INGVYSYABK,ING Vysya Bank Limited,BANKS - PRIVATE SECTOR
INNOIND,Innoventive Industries Limited,STEEL - TUBES/PIPES
INOXLEISUR,INOX Leisure Limited,MEDIA & ENTERTAINMENT
INSECTICID,Insecticides (India) Limited,PESTICIDES/AGRO CHEMICALS
INTEGRA,Integra Garments and Textiles Limited,ELECTRIC EQUIPMENT
IOB,Indian Overseas Bank,BANKS - PUBLIC SECTOR
IOC,Indian Oil Corporation Limited,REFINERIES
IPCALAB,IPCA Laboratories Limited,PHARMACEUTICALS
IPGETF,ICICI Prudential Mutual Fund - ICICI Prudential Gold ETF,FINANCE - INVESTMENTS
IRB,IRB Infrastructure Developers Limited,INFRASTRUCTURE - GENERAL
ISFT,Intrasoft Technologies Limited,MISCELLANEOUS
ISMTLTD,ISMT Limited,STEEL - ROLLING
ITC,ITC Limited,HOTELS
ITDCEM,ITD Cementation India Limited,CONSTRUCTION & CONTRACTING - CIVIL
ITI,ITI Limited,TELECOMMUNICATIONS - EQUIPMENT
IVC,IL&FS Investment Managers Limited,FINANCE - INVESTMENTS
IVRCLINFRA,IVRCL Limited,CONSTRUCTION & CONTRACTING - CIVIL
J&KBANK,The Jammu & Kashmir Bank Limited,MISCELLANEOUS
JAGRAN,Jagran Prakashan Limited,MEDIA & ENTERTAINMENT
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,PHARMACEUTICALS
JAIBALAJI,Jai Balaji Industries Limited,STEEL - SPONGE IRON
JAICORPLTD,Jai Corp Limited,STEEL - GP/GC SHEETS
JAMNAAUTO,Jamna Auto Industries Limited,AUTO ANCILLARIES
JAYAGROGN,Jayant Agro Organics Limited,CHEMICALS
JAYBARMARU,Jay Bharat Maruti Limited,AUTO ANCILLARIES
JAYNECOIND,Jayaswal Neco Industries Limited,CASTINGS & FORGINGS
JAYSREETEA,Jayshree Tea & Industries Limited,PLANTATIONS - TEA & COFFEE
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,PHARMACEUTICALS
JBFIND,JBF Industries Limited,TEXTILES - MANMADE
JENSONICOL,Jenson & Nicholson (India) Limited,PAINTS/VARNISHES
JETAIRWAYS,Jet Airways (India) Limited,TRANSPORT & LOGISTICS
JHS,JHS Svendgaard Laboratories Limited,PERSONAL CARE
JINDALPHOT,Jindal Photo Limited,CONSUMER GOODS - ELECTRONIC
JINDALPOLY,Jindal Poly Films Limited,PACKAGING
JINDALSAW,Jindal Saw Limited,STEEL - TUBES/PIPES
JINDALSTEL,Jindal Steel & Power Limited,STEEL - SPONGE IRON
JINDCOT,Jindal Cotex Limited,TEXTILES - SPINNING - COTTON BLENDED
JINDRILL,Jindal Drilling And Industries Limited,OIL DRILLING AND EXPLORATION
JINDWORLD,Jindal Worldwide Limited,TRADING
JISLDVREQS,Jain Irrigation Systems Limited,PLASTICS
JISLJALEQS,Jain Irrigation Systems Limited,PLASTICS
JKCEMENT,JK Cement Limited,CEMENT - MAJOR
JKIL,J.Kumar Infraprojects Limited,CONSTRUCTION & CONTRACTING - CIVIL
JKLAKSHMI,JK Lakshmi Cement Limited,CEMENT - MAJOR
JKPAPER,JK Paper Limited,PAPER
JKTYRE,JK Tyre & Industries Limited,TYRES
JMCPROJECT,JMC Projects (India)  Limited,CONSTRUCTION & CONTRACTING - CIVIL
JMFINANCIL,JM Financial Limited,FINANCE - INVESTMENTS
JMTAUTOLTD,JMT Auto Limited,AUTO ANCILLARIES
JOCIL,Jocil Limited,MISCELLANEOUS
JPASSOCIAT,Jaiprakash Associates Limited,INFRASTRUCTURE - GENERAL
JPINFRATEC,Jaypee Infratech Limited,INFRASTRUCTURE - GENERAL
JPPOWER,Jaiprakash Power Ventures Limited,POWER - GENERATION/DISTRIBUTION
JSL,Jindal Stainless Limited,ELECTRIC EQUIPMENT
JSWENERGY,JSW Energy Limited,POWER - GENERATION/DISTRIBUTION
JSWHL,JSW Holdings Limited,FINANCE - INVESTMENTS
JSWSTEEL,JSW Steel Limited,STEEL - LARGE
JUBILANT,Jubilant Life Sciences Limited,MISCELLANEOUS
JUBLFOOD,Jubilant Foodworks Limited,MISCELLANEOUS
JUBLINDS,Jubilant Industries Limited,MISCELLANEOUS
JUNIORBEES,Goldman Sachs Nifty Junior Exchange Traded Scheme,FINANCE - INVESTMENTS
JUSTDIAL,Just Dial Limited,MISCELLANEOUS
JVLAGRO,JVL Agro Industries Limited,VANASPATI/OILS
JYOTHYLAB,Jyothy Laboratories Limited,PERSONAL CARE
JYOTISTRUC,Jyoti Structures Limited,POWER - TRANSMISSION/EQUIPMENT
KABRAEXTRU,Kabra Extrusion Technik Limited,ENGINEERING - HEAVY
KAJARIACER,Kajaria Ceramics Limited,CERAMICS/GRANITE
KAKATCEM,Kakatiya Cement Sugar & Industries Limited,CEMENT - MINI
KALINDEE,Kalindee Rail Nirman (Engineers) Limited,ENGINEERING
KALPATPOWR,Kalpataru Power Transmission Limited,POWER - TRANSMISSION/EQUIPMENT
KAMATHOTEL,Kamat Hotels (I) Limited,HOTELS
KANANIIND,Kanani Industries Limited,FINANCE - INVESTMENTS
KANORICHEM,Kanoria Chemicals & Industries Limited,CHEMICALS
KANSAINER,Kansai Nerolac Paints Limited,PAINTS/VARNISHES
KARMAENG,Karma Energy Limited,MISCELLANEOUS
KARURVYSYA,Karur Vysya Bank Limited,BANKS - PRIVATE SECTOR
KAUSHALYA,Kaushalya Infrastructure Development Corporation Limited,CONSTRUCTION & CONTRACTING - CIVIL
KAVVERITEL,Kavveri Telecom Products Limited,TELECOMMUNICATIONS - EQUIPMENT
KBIL,Kirloskar Brothers Investments Limited,FINANCE - GENERAL
KCP,KCP Limited,SUGAR
KCPSUGIND,KCP Sugar and Industries Corporation Limited,SUGAR
KEC,KEC International Limited,POWER - TRANSMISSION/EQUIPMENT
KECL,Kirloskar Electric Company Limited,ELECTRIC EQUIPMENT
KEI,KEI Industries Limited,CABLES - POWER/OTHERS
KEMROCK,Kemrock Industries and Exports Limited,PLASTICS
KERNEX,Kernex Microsystems (India) Limited,COMPUTERS - SOFTWARE MEDIUM/SMALL
KESARENT,Kesar Enterprises Limited,SUGAR
KESORAMIND,Kesoram Industries Limited,DIVERSIFIED
KFA,Kingfisher Airlines Limited,COMPUTERS - SOFTWARE MEDIUM/SMALL
KICL,Kalyani Investment Company Limited,FINANCE - INVESTMENTS
KIL,Kamdhenu Ispat Limited,ENGINEERING - HEAVY
KILITCH,Kilitch Drugs (India) Limited,PHARMACEUTICALS
KIRLOSBROS,Kirloskar Brothers Limited,PUMPS
KIRLOSENG,Kirloskar Oil Engines Limited,ENGINES
KIRLOSIND,Kirloskar Industries Limited,ENGINES
KITEX,Kitex Garments Limited,TEXTILES - READYMADE APPARELS
KKCL,Kewal Kiran Clothing Limited,RETAIL
KMSUGAR,K.M.Sugar Mills Limited,SUGAR
KNRCON,KNR Constructions Limited,CONSTRUCTION & CONTRACTING - CIVIL
KOHINOOR,Kohinoor Foods Limited,FOOD PROCESSING
KOKUYOCMLN,Kokuyo Camlin Limited,DIVERSIFIED
KOLTEPATIL,Kolte - Patil Developers Limited,CONSTRUCTION & CONTRACTING - REAL ESTATE
KOPRAN,Kopran Limited,PHARMACEUTICALS
KOTAKBANK,Kotak Mahindra Bank Limited,BANKS - PRIVATE SECTOR
KOTAKGOLD,Kotak Mutual Fund - Gold Exchange Traded Fund,FINANCE - INVESTMENTS
KOTAKNIFTY,Kotak Mahindra Mutual Fund-Kotak Nifty ETF,FINANCE - INVESTMENTS
KOTAKPSUBK,Kotak Mahindra Mutual Fund,FINANCE - INVESTMENTS
KOTARISUG,Kothari Sugars And Chemicals Limited,SUGAR
KOTHARIPET,Kothari Petrochemicals Limited,TRADING
KOTHARIPRO,Kothari Products Limited,CIGARETTES
KPIT,KPIT Technologies Limited,COMPUTERS - SOFTWARE MEDIUM/SMALL
KPRMILL,K.P.R. Mill Limited,TEXTILES - READYMADE APPARELS
KRBL,KRBL Limited,FOOD PROCESSING
KRITIIND,Kriti Industries (India) Limited,PLASTICS
KSBPUMPS,KSB Pumps Limited,PUMPS
KSCL,Kaveri Seed Company Limited,MISCELLANEOUS
KSE,KSE Limited,EDIBLE OILS & SOLVENT EXTRACTION
KSERASERA,KSS Limited,MEDIA & ENTERTAINMENT
KSK,KSK Energy Ventures Limited,POWER - GENERATION/DISTRIBUTION
KSL,Kalyani Steels Limited,TEXTILES - HOSIERY/KNITWEAR
KTKBANK,The Karnataka Bank Limited,BANKS - PRIVATE SECTOR
KWALITY,kwality limited,FOOD PROCESSING
L&TFH,L&T Finance Holdings Limited,PHARMACEUTICALS
LAKSHMIEFL,Lakshmi Energy and Foods Limited,FOOD PROCESSING
LAKSHMIMIL,The Lakshmi Mills Company Limited,TEXTILES - COMPOSITE MILLS
LAKSHVILAS,Lakshmi Vilas Bank Limited,BANKS - PRIVATE SECTOR
LANCOIN,Lanco Industries Limited,STEEL - PIG IRON
LAOPALA,La Opala RG Limited,GLASS & GLASS PRODUCTS
LAXMIMACH,Lakshmi Machine Works Limited,TEXTILES - MACHINERY
LGBBROSLTD,LG Balakrishnan & Bros Limited,ENGINEERING
LGBFORGE,LGB Forge Limited,CASTINGS & FORGINGS
LIBERTSHOE,Liberty Shoes Limited,LEATHER PRODUCTS
LICHSGFIN,LIC Housing Finance Limited,FINANCE - HOUSING
LINDEINDIA,Linde India Limited,CHEMICALS
LIQUIDBEES,Goldman Sachs Liquid Exchange Traded Scheme,FINANCE - INVESTMENTS
LITL,Lanco Infratech Limited,INFRASTRUCTURE - GENERAL
LLOYDELENG,Lloyd Electric & Engineering Limited,CONSUMER GOODS - WHITE GOODS
LML,LML Limited,AUTO - 2 & 3 WHEELERS
LOKESHMACH,Lokesh Machines Limited,MACHINE TOOLS
LOVABLE,Lovable Lingerie Limited,TEXTILES - READYMADE APPARELS
LT,Larsen & Toubro Limited,FOOD PROCESSING
LUMAXAUTO,Lumax Automotive Systems Limited,AUTO ANCILLARIES
LUMAXIND,Lumax Industries Limited,AUTO ANCILLARIES
