SYMBOL,FULLNAME
VOLTAMP,Voltamp Transformers Limited
VOLTAS,Voltas Limited
VSSL,Vardhman Special Steels Limited
VSTIND,VST Industries Limited
VSTTILLERS,V.S.T Tillers Tractors Limited
VTL,Vardhman Textiles Limited
WABAG,VA Tech Wabag Limited
WABCOINDIA,WABCO India Limited
WALCHANNAG,Walchandnagar Industries Limited
WEIZMANIND,Weizmann Limited
WELCORP,Welspun Corp Limited
WELINV,Welspun Investments and Commercials Limited
WELPROJ,Welspun Projects Limited
WELSPUNIND,Welspun India Limited
WHEELS,Wheels India Limited
WHIRLPOOL,Whirlpool of India Limited
WINDMACHIN,Windsor Machines Limited
WINSOME,Winsome Yarns Limited
WINSOMEDJ,Winsome Diamonds and Jewellery Limited
WIPRO,Wipro Limited
WOCKPHARMA,Wockhardt Limited
WSI,W S Industries (I) Limited
WSTCSTPAPR,West Coast Paper Mills Limited
WYETH,Wyeth Limited
XLENERGY,XL Energy Limited
XPROINDIA,Xpro India Limited
YESBANK,Yes Bank Limited
ZANDUREALT,Zandu Realty Limited
ZEEL,Zee Entertainment Enterprises Limited
ZEELEARN,Zee Learn Limited
ZEEMEDIA,Zee Media Corporation Limited
ZENITHCOMP,Zenith Computers Limited
ZENSARTECH,Zensar Technologies Limited
ZICOM,Zicom Electronic Security Systems Limited
ZODIACLOTH,Zodiac Clothing Company Limited
ZUARI,Zuari Agro Chemicals Limited
ZUARIGLOB,ZUARI GLOBAL LIMITED
ZYDUSWELL,Zydus Wellness Limited
ZYLOG,Zylog Systems Limited
